0.1 0.732947
0.3 0.752538
0.5 0.777872
0.7 0.816775
0.9 0.843782
1.1 0.901878
1.3 0.943018
1.5 0.933185
1.7 0.952106
1.9 0.914134
2.1 0.891056
2.3 0.872061
2.5 0.846669
2.7 0.826175
2.9 0.777497
3.1 0.735669
3.3 0.689483
3.5 0.640247
3.7 0.614817
3.9 0.566249
4.1 0.532349
4.3 0.498033
4.5 0.463252
4.7 0.420379
4.9 0.398337
5.1 0.366382
5.3 0.330413
5.5 0.296467
5.7 0.277351
5.9 0.250116
6.1 0.234904
6.3 0.214788
6.5 0.196922
6.7 0.176216
6.9 0.164014
7.1 0.152943
7.3 0.13798
7.5 0.132906
7.7 0.12335
7.9 0.11402
8.1 0.107415
8.3 0.100442
8.5 0.0978476
8.7 0.0910983
8.9 0.0879484
9.1 0.0859339
9.3 0.0818751
9.5 0.0791378
9.7 0.0781211
9.9 0.0733317
10.1 0.0721216
10.3 0.068446
10.5 0.0655797
10.7 0.0632525
10.9 0.0590759
11.1 0.0551622
11.3 0.051182
11.5 0.0473347
11.7 0.0429166
11.9 0.0376312
12.1 0.0351007
12.3 0.0301146
12.5 0.0311257
12.7 0.0330147
12.9 0.0346635
13.1 0.0377287
13.3 0.0339191
13.5 0.0391076
13.7 0.0395958
13.9 0.0457205
14.1 0.0575356
14.3 0.0588077
14.5 0.0611319
14.7 0.0575068
14.9 0.0629362
15.1 0.0620166
15.3 0.0822111
15.5 0.088583
15.7 0.106086
15.9 0.132506

