34346 -999.0 -999.0 -999.0 -999.0
34370 -999.0 -999.0 -999.0 -999.0
34372 64.35 6.65 60.91 3.5
34373 57.95 3.45 59.42 2.61
34374 69.15 3.8 64.34 2.85
34375 61.77 4.87 58.28 2.42
34376 61.04 3.33 64.15 2.93
34378 -999.0 -999.0 -999.0 -999.0
34379 59.81 3.72 55.86 3.25
34380 61.75 3.93 68.73 3.79
34382 -999.0 -999.0 -999.0 -999.0
34383 62.5 4.51 67.26 3.58
34386 -999.0 -999.0 -999.0 -999.0
34387 64.16 3.95 63.99 2.59
34388 61.04 4.34 61.6 2.41
34393 -999.0 -999.0 -999.0 -999.0
34394 73.14 16.15 57.27 5.5
34395 64.1 12.65 63.33 5.71
34396 61.76 7.17 71.21 6.02
34399 82.65 8.16 65.78 6.04
34403 65.35 2.8 65.02 2.48
34404 61.78 4.56 61.75 2.33
34405 65.59 2.87 60.07 2.2
34406 62.62 2.99 61.3 2.6
34408 48.66 2.48 45.57 2.38
34409 -999.0 -999.0 -999.0 -999.0
34410 -999.0 -999.0 -999.0 -999.0
34411 -999.0 -999.0 -999.0 -999.0
34412 67.11 3.2 61.96 2.43
34416 66.9 2.83 62.21 2.47
34417 -999.0 -999.0 -999.0 -999.0
34418 62.3 3.4 59.72 3.02
34419 67.7 3.89 60.46 3.22
34420 60.01 3.67 58.33 3.32
34421 54.24 4.31 50.39 3.31
34422 56.71 3.82 54.1 3.36
34423 33.81 3.28 38.77 3.11
34442 -999.0 -999.0 -999.0 -999.0
34443 48.63 3.46 50.71 3.32
34444 51.85 2.55 47.29 2.97
34445 -999.0 -999.0 -999.0 -999.0
34446 40.65 2.86 47.13 2.94
34447 37.4 3.53 43.65 2.93
34448 37.71 3.78 46.38 2.96
34449 -999.0 -999.0 -999.0 -999.0
34450 38.08 3.33 44.47 2.88
34451 41.77 3.31 45.34 2.93
34452 40.29 3.09 44.85 3.15
34453 39.29 2.91 44.36 3.01
34454 -999.0 -999.0 -999.0 -999.0
34455 -999.0 -999.0 -999.0 -999.0
34456 -0.18 0.54 45.28 2.85
34457 -999.0 -999.0 -999.0 -999.0
34458 -0.18 0.54 41.06 2.61
34460 49.2 2.92 44.81 2.94
34462 -999.0 -999.0 -999.0 -999.0
34463 -0.18 0.54 49.56 3.03
34464 52.82 3.66 52.63 7.42
34465 42.31 3.54 47.62 3.92
34472 43.12 4.83 48.14 3.75
34473 -0.18 0.54 46.19 2.92
34477 -999.0 -999.0 -999.0 -999.0
34479 -999.0 -999.0 -999.0 -999.0
34480 -999.0 -999.0 -999.0 -999.0
34485 38.59 4.23 42.41 3.13
34487 48.02 4.05 50.15 3.91
34489 52.37 2.02 53.35 2.52
34492 44.18 3.03 41.89 2.88
34493 50.67 3.27 54.7 6.07
34494 50.49 3.28 49.67 3.85
34496 48.61 3.52 48.59 3.41
34499 45.46 2.86 51.28 3.34
34500 46.89 2.11 49.48 2.42
34503 43.47 1.92 49.51 2.83
34504 45.29 2.04 51.65 3.23
34509 40.53 2.31 40.68 2.39
34510 42.94 2.58 48.67 3.1
34513 -999.0 -999.0 -999.0 -999.0
34514 -999.0 -999.0 -999.0 -999.0
34515 41.76 2.44 49.94 2.25
34517 43.15 2.33 47.95 2.43
34519 46.61 2.5 50.39 1.99
34521 49.83 2.16 51.82 2.06
34524 -999.0 -999.0 -999.0 -999.0
