pt:  0.500000    0.741935    0.018868    0.000000    0.600000
pt:  1.500000    0.926471    0.014599    0.025974    0.214286
pt:  2.500000    0.887324    0.026042    0.024390    0.153846
pt:  3.500000    0.889908    0.010526    0.016393    0.092308
pt:  4.500000    0.813559    0.031250    0.010989    0.074257
pt:  5.500000    0.845070    0.039548    0.053763    0.063158
pt:  6.500000    0.814480    0.032086    0.031579    0.047619
pt:  7.500000    0.793478    0.039106    0.024038    0.035714
pt:  8.500000    0.840426    0.035503    0.014851    0.030303
pt:  9.500000    0.831579    0.014706    0.016484    0.046392
pt:  10.500000    0.824390    0.043243    0.022599    0.029703
pt:  11.500000    0.882353    0.036458    0.026042    0.032787
pt:  12.500000    0.865169    0.031414    0.005181    0.012270
pt:  13.500000    0.912371    0.010870    0.020619    0.015789
pt:  14.500000    0.903226    0.009950    0.026738    0.005780
pt:  15.500000    0.879195    0.026178    0.016667    0.011905
