# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 16:     3-6%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  68.891670  23.492661  -14.401264 
-5.1  87.646851  26.413048  -17.250198 
-4.9  114.599518  25.154343  -24.432556 
-4.7  143.192917  26.517258  -28.920250 
-4.5  168.032104  35.934174  -25.047043 
-4.3  216.120316  26.160599  -39.873871 
-4.1  255.283249  28.800247  -41.726212 
-3.9  289.568878  38.897797  -35.643585 
-3.7  332.298950  41.939270  -36.372894 
-3.5  371.625916  48.404755  -33.749878 
-3.3  404.660492  59.789062  -26.572540 
-3.1  453.453217  52.773682  -38.327637 
-2.9  498.213684  46.129883  -50.232819 
-2.7  522.998657  55.097412  -46.865967 
-2.5  546.305420  60.797913  -46.806549 
-2.3  576.874756  54.390503  -58.551636 
-2.1  590.601318  60.093201  -57.555298 
-1.9  610.970032  54.673401  -66.776367 
-1.7  623.061951  53.380798  -70.762695 
-1.5  624.308716  59.156067  -66.448730 
-1.3  628.450317  58.666260  -67.126099 
-1.1  629.406128  58.462341  -66.303345 
-0.9  624.227173  62.087219  -60.630493 
-0.7  619.747070  63.500732  -56.515808 
-0.5  616.644958  63.061890  -54.167236 
-0.3  625.843872  51.070496  -64.006836 
-0.1  618.160706  57.890747  -56.392944 
0.1  613.323853  62.727600  -51.556091 
0.3  621.076111  55.838257  -59.239075 
0.5  611.132507  68.574341  -48.654785 
0.7  613.109863  70.137939  -49.878601 
0.9  617.432495  68.881897  -53.835815 
1.1  616.707153  71.161316  -53.604370 
1.3  628.632263  58.484314  -67.308044 
1.5  629.132935  54.331848  -71.272949 
1.7  622.706604  53.736145  -70.407349 
1.9  608.741028  56.902344  -64.547363 
2.1  599.421082  51.273438  -66.375061 
2.3  580.633667  50.631592  -62.310547 
2.5  548.772644  58.330688  -49.273773 
2.7  532.932678  45.163391  -56.799988 
2.9  494.223267  50.120300  -46.242432 
3.1  461.215546  45.011322  -46.089996 
3.3  417.839844  46.609650  -39.751953 
3.5  386.025726  34.004913  -48.149719 
3.7  334.265350  39.972870  -38.339294 
3.9  293.271637  35.194977  -39.346390 
4.1  250.700287  33.383087  -37.143356 
4.3  216.493835  25.787079  -40.247391 
4.5  177.132996  26.833282  -34.147934 
4.7  145.103882  24.606216  -30.831284 
4.9  116.757294  22.996567  -26.590332 
5.1  91.507233  22.552605  -21.110619 
5.3  74.297058  18.087273  -19.806652 
&
