  5.0000E+00  9.5431E-02  4.4395E-01  4.6095E-01
  7.5000E+00  1.2909E-01  4.8356E-01  3.8733E-01
  1.0000E+01  1.6440E-01  5.0780E-01  3.2794E-01
  1.2500E+01  2.0003E-01  5.2010E-01  2.7994E-01
  1.5000E+01  2.3519E-01  5.2347E-01  2.4131E-01
  1.7500E+01  2.6911E-01  5.2065E-01  2.1013E-01
  2.0000E+01  3.0111E-01  5.1379E-01  1.8505E-01
  2.2500E+01  3.3094E-01  5.0443E-01  1.6460E-01
  2.5000E+01  3.5829E-01  4.9378E-01  1.4789E-01
  2.7500E+01  3.8300E-01  4.8281E-01  1.3421E-01
  3.0000E+01  4.0483E-01  4.7219E-01  1.2296E-01
  3.2500E+01  4.2385E-01  4.6238E-01  1.1374E-01
  3.5000E+01  4.4022E-01  4.5360E-01  1.0612E-01
  3.7500E+01  4.5419E-01  4.4601E-01  9.9837E-02
  4.0000E+01  4.6557E-01  4.3975E-01  9.4695E-02
  4.2500E+01  4.7475E-01  4.3471E-01  9.0526E-02
  4.5000E+01  4.8188E-01  4.3091E-01  8.7207E-02
  4.7500E+01  4.8718E-01  4.2820E-01  8.4622E-02
  5.0000E+01  4.9084E-01  4.2651E-01  8.2687E-02
  5.2500E+01  4.9302E-01  4.2570E-01  8.1317E-02
  5.5000E+01  4.9379E-01  4.2572E-01  8.0490E-02
  5.7500E+01  4.9358E-01  4.2630E-01  8.0087E-02
  6.0000E+01  4.9251E-01  4.2740E-01  8.0072E-02
  6.2500E+01  4.9092E-01  4.2879E-01  8.0301E-02
  6.5000E+01  4.8914E-01  4.3020E-01  8.0630E-02
  6.7500E+01  4.8746E-01  4.3153E-01  8.0939E-02
  7.0000E+01  4.8673E-01  4.3236E-01  8.0914E-02
  7.2500E+01  4.8722E-01  4.3250E-01  8.0286E-02
  7.5000E+01  4.8991E-01  4.3132E-01  7.8677E-02
  7.7500E+01  4.9608E-01  4.2830E-01  7.5640E-02
  8.0000E+01  5.0681E-01  4.2250E-01  7.0690E-02
  8.2500E+01  5.2430E-01  4.1228E-01  6.3471E-02
  8.5000E+01  5.5078E-01  3.9557E-01  5.3677E-02
  8.7500E+01  5.8925E-01  3.6891E-01  4.1782E-02
  9.0000E+01  6.4296E-01  3.2819E-01  2.8889E-02
  9.2500E+01  7.1112E-01  2.7133E-01  1.7505E-02
  9.5000E+01  7.7904E-01  2.1006E-01  1.0873E-02
  9.7500E+01  7.8665E-01  2.0439E-01  9.1944E-03
      pt         qq          qg          gg
