tpwidth,meanadc
30,-1330
30,-1364
30,-1326
30,-1337
30,-1307
30,-1441
30,-1309
30,-1350
30,-1362
30,-1281
30,-1392
30,-1329
30,-1291
30,-1297
30,-1269
30,-1261
30,-1387
30,-1323
30,-1285
30,-1344
31,-1173
31,-1121
31,-1189
31,-1190
31,-1315
31,-1185
31,-1193
31,-1117
31,-1031
31,-1228
31,-1194
31,-1102
31,-1189
31,-1175
31,-1103
31,-1155
31,-1222
31,-1181
31,-1267
31,-1206
32,-946
32,-822
32,-1221
32,-916
32,-638
32,-843
32,-942
32,-928
32,-887
32,-791
32,-975
32,-769
32,-950
32,-768
32,-1069
32,-920
32,-994
32,-1017
32,-810
32,-1018
33,-943
33,-328
33,-561
33,-909
33,-796
33,-3
33,-309
33,-542
33,-605
33,-674
33,-544
33,-348
33,-348
33,-559
33,-643
33,-560
33,-313
33,-334
33,-508
33,-555
34,8
34,-266
34,-78
34,117
34,-224
34,156
34,-962
34,430
34,537
34,92
34,469
34,-352
34,-143
34,34
34,500
34,525
34,223
34,415
34,118
34,179
35,-39
35,1022
35,1005
35,1259
35,1368
35,1645
35,1054
35,1594
35,776
35,-79
35,1455
35,993
35,989
35,1149
35,1056
35,2544
35,975
35,592
35,350
35,1711
36,1961
36,2212
36,1492
36,1657
36,3239
36,2964
36,2258
36,2557
36,364
36,435
36,2436
36,2334
36,4726
36,2385
36,3182
36,3441
36,2349
36,1046
36,2479
36,3053
37,1843
37,1352
37,2810
37,2827
37,3750
37,4074
37,4251
37,5192
37,4161
37,4879
37,3295
37,3708
37,4020
37,4305
37,5566
37,7168
37,3981
37,2577
37,5034
37,4147
38,6462
38,6120
38,5629
38,6349
38,7666
38,6350
38,5234
38,10018
38,6524
38,7152
38,2988
38,6211
38,7483
38,5787
38,7485
38,4529
38,4791
38,6264
38,8113
38,7273
39,3898
39,10036
39,8902
39,11750
39,7960
39,7583
39,8507
39,6514
39,8594
39,8686
39,10359
39,9613
39,8822
39,8397
39,9885
39,7592
39,4479
39,8638
39,6580
39,9872
40,2920
40,-1189
40,9057
40,2922
40,-1189
40,11897
40,11495
40,11753
40,10818
