tpwidth,meanadc
10,-1484
10,-1486
10,-1485
10,-1485
10,-1485
10,-1484
10,-1485
10,-1485
10,-1484
10,-1484
10,-1485
10,-1485
10,-1485
11,-1485
11,-1486
11,-1485
11,-1485
11,-1485
11,-1485
11,-1485
11,-1485
11,-1484
11,-1485
11,-1485
11,-1484
11,-1484
12,-1485
12,-1485
12,-1485
12,-1484
12,-1485
12,-1485
12,-1485
12,-1485
12,-1484
12,-1485
12,-1484
12,-1485
12,-1485
13,-1484
13,-1484
13,-1486
13,-1484
13,-1484
13,-1485
13,-1485
13,-1485
13,-1485
13,-1485
13,-1485
13,-1485
13,-1670
14,-1485
14,-1485
14,-1485
14,-1486
14,-1485
14,-1484
14,-1485
14,-1485
14,-1485
14,-1485
14,-1485
14,-1484
14,-1484
15,-1485
15,-1484
15,-1485
15,-1485
15,-1485
15,-1484
15,-1486
15,-1485
15,-1485
15,-1485
15,-1486
15,-1484
15,-1484
16,-1484
16,-1485
16,-1485
16,-1485
16,-1485
16,-1485
16,-1484
16,-1485
16,-1662
16,-1485
16,-1484
16,-1485
16,-1486
17,-1485
17,-1484
17,-1485
17,-1485
17,-1485
17,-1484
17,-1486
17,-1485
17,-1485
17,-1484
17,-1484
17,-1486
17,-1485
18,-1486
18,-1486
18,-1486
18,-1485
18,-1485
18,-1485
18,-1484
18,-1485
18,-1485
18,-1484
18,-1484
18,-1484
18,-1484
19,-1485
19,-1483
19,-1485
19,-1485
19,-1485
19,-1485
19,-1484
19,-1484
19,-1485
19,-1486
19,-1485
19,-1485
19,-1485
20,-1484
20,-1485
20,-1485
20,-1486
20,-1484
20,-1485
20,-1485
20,-1485
20,-1485
20,-1484
20,-1486
20,-1484
20,-1484
21,-1481
21,-1482
21,-1483
21,-1481
21,-1480
21,-1482
21,-1483
21,-1483
21,-1481
21,-1480
21,-1480
21,-1482
21,-1482
22,-1418
22,-1416
22,-1421
22,-1419
22,-1442
22,-1417
22,-1439
22,-1420
22,-1442
22,-1445
22,-1444
22,-1421
22,-1445
23,-1061
23,-1045
23,-1062
23,-1050
23,-1194
23,-1179
23,-1179
23,-1052
23,-1041
23,-1171
23,-1205
23,-1181
23,-1056
24,72
24,78
24,64
24,-267
24,-243
24,-494
24,44
24,-277
24,-469
24,42
24,56
24,96
24,-278
25,2480
25,2499
25,1837
25,1927
25,1840
25,1058
25,1864
25,2509
25,2535
25,1116
25,2527
25,2580
25,2565
26,6633
26,6544
26,5678
26,6597
26,5585
26,6495
26,3649
26,6577
26,5553
26,6518
26,3739
26,6555
26,5541
27,9171
27,7103
27,7224
27,9962
27,9261
27,9919
27,9951
27,9994
27,9951
27,10024
27,9150
27,9209
27,9905
28,12151
28,12613
28,12605
28,10171
28,12618
28,12647
28,12593
28,12616
28,12117
28,12634
28,12182
28,10260
28,12215
29,12577
29,13190
29,13353
29,13353
29,13355
29,13205
29,13170
29,13176
29,13367
29,13361
29,13346
29,13353
29,12522
30,13400
30,13399
30,13325
30,13400
30,13399
30,13399
30,13306
30,13399
30,13403
30,13400
30,13400
30,13400
30,13403
31,13399
31,13400
31,13402
31,13400
31,13399
31,13399
31,13400
31,13400
31,13399
31,13401
31,13402
31,13403
31,13402
32,13401
32,13399
32,13402
32,13402
32,13400
32,13403
32,13399
32,13400
32,13400
32,13399
32,13400
32,13398
32,13403
33,13404
33,13399
33,13399
33,13401
33,13400
33,13398
33,13403
33,13401
33,13399
33,13400
33,13399
33,13403
33,13401
34,13404
34,13403
34,13403
34,13400
34,13399
34,13400
34,13398
34,13400
34,13400
34,13401
34,13400
34,13399
34,13401
35,13400
35,13403
35,13399
35,13404
35,13399
35,13400
35,13399
35,13399
35,13400
35,13400
35,13400
35,13398
35,13403
36,13402
36,13399
36,13403
36,13400
36,13400
36,13399
36,13399
36,13401
36,13399
36,13399
36,13399
36,13402
36,13399
37,13399
37,13402
37,13397
37,13400
37,13399
37,13402
37,13400
37,13401
37,13401
37,13400
37,13403
37,13400
37,13399
38,13400
38,13400
38,13400
38,13403
38,13400
38,13400
38,13399
38,13399
38,13398
38,13399
38,13400
38,13403
38,13401
39,13398
39,13400
39,13399
39,13401
39,13399
39,13400
39,13400
39,13400
39,13399
39,13401
39,13399
39,13404
39,13403
40,13400
40,13400
40,13401
40,13399
40,13402
40,13398
40,13399
40,13398
40,13400
40,13403
40,-1234
40,13400
40,13400
40,13399
40,2720
41,13400
41,13399
41,13400
41,13400
41,13399
41,13400
41,13399
41,13399
41,13399
41,13402
41,13398
41,13403
41,13400
42,13399
42,13403
42,13399
42,13398
42,13401
42,13400
42,13399
42,13400
42,13400
42,13399
42,13399
42,13403
42,13399
43,13399
43,13403
43,13403
43,13400
43,13400
43,13399
43,13400
43,13401
43,13399
43,13399
43,13400
43,13400
44,13400
44,13399
44,13399
44,13400
44,13399
44,13400
44,13399
44,13400
44,13403
44,13400
44,13402
44,13401
45,13400
45,13399
45,13401
45,13400
45,13403
45,13400
45,13400
45,13399
45,13400
45,13403
45,13399
45,13400
46,13400
46,13400
46,13403
46,13401
46,13401
46,13399
46,13399
46,13400
46,13401
46,13399
46,13401
46,13403
47,13399
47,13400
47,13403
47,13400
47,13400
47,13400
47,13399
47,13402
47,13400
47,13401
47,13400
47,13400
48,13402
48,13398
48,13400
48,13400
48,13402
48,13401
48,13401
48,13401
48,13400
48,13401
48,13399
48,13400
49,13400
49,13404
49,13400
49,13401
49,13400
49,13399
49,13401
49,13403
49,13401
49,13401
49,13399
49,13400
50,13400
50,13401
50,13399
50,13401
50,13400
50,-1186
50,3488
50,13404
50,13401
50,13400
50,13400
50,13401
50,13401
50,13404
