tpwidth,meanadc
10,-1521
10,-1521
11,-1522
11,-1521
12,-1522
12,-1521
13,-1522
13,-1521
14,-1521
14,-1521
15,-1521
15,-1521
16,-1521
16,-1521
17,-1521
17,-1521
18,-1521
18,-1521
19,-1521
19,-1521
20,-1520
20,-1521
21,-1507
21,-1512
22,-1386
22,-1420
23,-877
23,-996
24,104
24,377
25,2595
25,2146
26,6210
26,5555
27,9816
27,9214
28,11885
28,12141
29,13093
29,12953
30,13332
30,13331
31,13331
31,13330
32,13331
32,13330
33,13331
33,13331
34,13332
34,13331
35,13331
35,13332
36,13332
36,13331
37,13331
37,13332
38,13331
38,13332
39,13331
39,13332
40,13331
40,13331
40,-1261
40,2800
41,13332
41,13332
42,13331
42,13332
43,13332
43,13331
44,13331
44,13332
45,13331
45,13332
46,13330
46,13332
47,13330
47,13333
48,13333
48,13330
49,13332
49,13330
50,13332
50,-1213
50,3565
50,13330
