tpwidth,meanadc
30,-1339
30,-1340
30,-1346
30,-1340
30,-1300
30,-1354
30,-1344
30,-1344
30,-1342
30,-1346
30,-1344
30,-1472
30,-1360
30,-1360
31,-1472
31,-1221
31,-1194
31,-1222
31,-1198
31,-1203
31,-1106
31,-1207
31,-1209
31,-1188
31,-1204
31,-1202
31,-1195
31,-1196
32,-905
32,-938
32,-952
32,-951
32,-1472
32,-957
32,-942
32,-948
32,-967
32,-960
32,-769
32,-944
32,-969
33,-542
33,-565
33,-240
33,-526
33,-446
33,-548
33,-546
33,-523
33,-518
33,-525
33,-552
33,-1472
33,-537
34,319
34,131
34,632
34,189
34,120
34,164
34,146
34,169
34,139
34,-1472
34,161
34,122
34,177
35,1102
35,1143
35,1036
35,1083
35,-1472
35,1448
35,1248
35,1026
35,1050
35,1887
35,1059
35,1089
35,1211
36,-760
36,-1472
36,2298
36,2284
36,2312
36,2329
36,2359
36,2385
36,2367
36,-725
36,-720
36,-744
36,-753
36,-733
36,-787
36,-724
36,-724
36,-760
36,-726
36,-726
36,-721
36,-721
36,-872
36,-881
36,-869
36,-874
36,-757
36,-770
36,-753
36,-869
36,-874
36,-889
36,-866
36,-893
36,-886
36,-901
36,-784
36,-744
36,-742
36,-722
36,-718
36,-746
36,-751
36,-756
36,-788
36,-801
36,-808
36,-792
36,-813
36,-773
36,-756
36,-755
36,-753
36,-754
36,-792
36,-770
36,-787
36,-756
36,-765
36,-758
36,-756
36,-909
36,-911
36,-795
36,-807
36,-791
36,-817
36,-927
36,-753
36,-758
36,-757
36,-755
36,-786
36,-795
36,-793
36,-772
36,-760
36,-768
36,-759
36,-759
36,-756
36,-911
36,-920
36,-906
36,-797
36,-818
36,-906
36,-927
36,-902
36,-929
36,-924
36,-937
36,-929
36,-825
36,-788
36,-783
36,-775
36,-757
36,-768
36,-754
36,-794
36,-797
36,-808
36,-818
36,-829
36,-840
36,-832
36,-849
36,-865
36,-833
36,-852
36,-818
36,-826
36,-832
36,-833
36,-834
36,-822
36,-794
36,-784
36,-765
36,-772
36,2741
36,3084
36,2779
36,3643
36,2629
37,3810
37,3846
37,3922
37,3827
37,5741
37,3887
37,4648
37,5115
37,3895
37,4462
37,-1473
37,4672
38,8411
38,5945
38,5842
38,7736
38,7151
38,5934
38,-1472
38,5878
38,5859
38,5967
38,6930
38,7210
39,-1473
39,9854
39,8171
39,9494
39,10362
39,9702
39,10774
39,8181
39,8253
39,8286
39,8143
39,8252
40,10664
40,10572
40,-1210
40,2897
40,-1273
40,1875
40,10594
40,11748
40,-1322
40,1044
40,11538
40,10697
40,-1473
40,-1207
40,10663
40,2949
40,10607
40,12215
40,11672
40,2949
40,-1207
40,11374
41,11910
41,11761
41,11875
41,11901
41,12544
41,12825
41,11907
41,11353
41,11859
41,-1473
41,12478
41,11906
42,13152
42,13098
42,12044
42,11394
42,11879
42,12041
42,13298
42,12001
42,11388
42,11975
42,11970
42,12044
43,13414
43,11673
43,11594
43,11496
43,13389
43,11615
43,11630
43,13381
43,11669
43,11606
43,11590
43,11579
44,11342
44,13425
44,11954
44,11249
44,13425
44,13425
44,11334
44,11376
44,11845
44,11279
44,11212
44,11012
45,11555
45,11406
45,11943
45,11441
45,12062
45,13426
45,11795
45,11729
45,13426
45,12203
45,13424
45,11508
46,12028
46,13425
46,11943
46,11884
46,11872
46,13426
46,12215
46,12109
46,12020
46,13425
46,11938
46,11910
47,12246
47,13425
47,12250
47,12179
47,12227
47,12310
47,12098
47,12053
47,13426
47,12096
47,13425
47,12454
47,12311
48,12347
48,12156
48,13426
48,13425
48,12228
48,12224
48,12118
48,13425
48,12146
48,12036
48,12180
48,12473
48,12312
49,12175
49,13425
49,11926
49,12163
49,12271
49,12054
49,12118
49,12224
49,12090
49,13425
49,12069
49,12320
49,13427
50,12252
50,12088
50,12115
50,3743
50,-1156
50,12060
50,3733
50,-1159
50,12093
50,13425
50,13426
50,3739
50,-1158
50,13425
50,-1459
50,1539
50,-1292
50,2532
50,-1232
50,3700
50,-1160
50,12316
50,12153
50,12106
50,12223
50,12039
51,12291
51,13425
51,12371
51,13426
51,13426
51,12027
51,12203
51,12222
51,12141
51,12181
51,12238
51,11937
51,12210
52,12277
52,12256
52,12375
52,12162
52,13425
52,12095
52,11994
52,12275
52,12190
52,12158
52,12254
52,13427
52,13426
53,12121
53,12218
53,13426
53,12159
53,12289
53,12329
53,12385
53,12000
53,13424
53,13427
53,12118
53,12260
53,12403
54,12369
54,12255
54,12348
54,13426
54,12145
54,12272
54,12414
54,12427
54,13427
54,12208
54,12145
54,13426
54,12176
55,12178
55,12171
55,12258
55,13425
55,12155
55,13426
55,12214
55,13426
55,12071
55,12238
55,12202
55,12227
55,12132
56,12272
56,12229
56,12150
56,12365
56,13426
56,12234
56,12178
56,13425
56,12255
56,12057
56,13427
56,12058
56,12109
57,12245
57,12413
57,12384
57,13427
57,12174
57,13426
57,12288
57,11998
57,12095
57,12398
57,12133
57,13426
57,12264
58,13426
58,12339
58,13425
58,12331
58,12121
58,12052
58,12210
58,13426
58,12156
58,12290
58,12182
58,11998
58,12207
59,12228
59,12338
59,13426
59,12227
59,12189
59,12255
59,12121
59,12281
59,13427
59,12200
59,12238
59,12196
59,13426
60,12015
60,13426
60,13426
60,13426
60,12217
60,12239
60,12063
60,11899
60,12370
60,12131
60,12181
60,12042
60,12245
