tpwidth,meanadc
10,-1521
10,-1521
11,-1521
11,-1521
12,-1521
12,-1521
13,-1521
13,-1521
14,-1521
14,-1521
15,-1521
15,-1521
16,-1521
16,-1521
17,-1521
17,-1521
18,-1521
18,-1521
19,-1521
19,-1521
20,-1520
20,-1520
21,-1504
21,-1509
22,-1404
22,-1372
23,-857
23,-959
24,125
24,337
25,2513
25,2149
26,5876
26,5351
27,8989
27,9495
28,12554
28,12245
29,13328
29,13338
30,13333
30,13329
31,13328
31,13333
32,13333
32,13329
33,13333
33,13330
34,13330
34,13333
35,13333
35,13331
36,13330
36,13333
37,13331
37,13333
38,13331
38,13333
39,13331
39,13331
40,2809
40,13331
40,13331
40,2819
40,-1261
40,-1261
41,13331
41,13331
42,13332
42,13331
43,13331
43,13331
44,13331
44,13331
45,13331
45,13330
46,13330
46,13331
47,13331
47,13330
48,13331
48,13330
49,13330
49,13331
50,13330
50,-1213
50,3576
50,-1213
50,3586
50,13332
