RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
47661 0.0301203 0.0278752 0.0301203 0.0278752 0.0301203 0.0278752
47662 0.0189462 0.0175818 0.0189462 0.0175818 0.0189462 0.0175818
47664 0.0118700 0.0110420 0.0118700 0.0110420 0.0118700 0.0110420
47666 0.0179399 0.0167865 0.0179399 0.0167865 0.0179399 0.0167865
47667 0.0205561 0.0192690 0.0205561 0.0192690 0.0205561 0.0192690
47714 0.0062070 0.0055150 0.0062070 0.0055150 0.0062070 0.0055150
47715 0.0128393 0.0115734 0.0128393 0.0115734 0.0128393 0.0115734
47716 0.0142304 0.0128942 0.0142304 0.0128942 0.0142304 0.0128942
47719 0.0100377 0.0091892 0.0100377 0.0091892 0.0100377 0.0091892
47720 0.0470933 0.0434356 0.0470933 0.0434356 0.0470933 0.0434356
47722 0.0347295 0.0322506 0.0347295 0.0322506 0.0347295 0.0322506
47723 0.0355313 0.0331304 0.0355313 0.0331304 0.0355313 0.0331304
47724 0.0385416 0.0360664 0.0385416 0.0360664 0.0385416 0.0360664
47725 0.0104363 0.0097910 0.0104363 0.0097910 0.0104363 0.0097910
47726 0.0493954 0.0464710 0.0493954 0.0464710 0.0493954 0.0464710
47727 0.0224089 0.0211349 0.0224089 0.0211349 0.0112044 0.0105674
47730 0.0066708 0.0063037 0.0066708 0.0063037 0.0066708 0.0063037
47732 0.0410362 0.0388562 0.0410362 0.0388562 0.0410362 0.0388562
47733 0.0402758 0.0382310 0.0402758 0.0382310 0.0402758 0.0382310
47783 0.0043898 0.0040661 0.0043898 0.0040661 0.0043898 0.0040661
47791 0.0312585 0.0291393 0.0312585 0.0291393 0.0312585 0.0291393
47810 0.0486422 0.0452490 0.0486422 0.0452490 0.0486422 0.0452490
47824 0.0279527 0.0261126 0.0279527 0.0261126 0.0279527 0.0261126
47831 0.0071018 0.0066469 0.0071018 0.0066469 0.0071018 0.0066469
47834 0.0018599 0.0017417 0.0018599 0.0017417 0.0018599 0.0017417
47836 0.0115861 0.0108781 0.0115861 0.0108781 0.0115861 0.0108781
47852 0.0060872 0.0057319 0.0060872 0.0057319 0.0060872 0.0057319
47856 0.0081938 0.0077210 0.0081938 0.0077210 0.0081938 0.0077210
47869 0.0081794 0.0077199 0.0081794 0.0077199 0.0081794 0.0077199
47873 0.0181286 0.0171264 0.0181286 0.0171264 0.0181286 0.0171264
47889 0.0233852 0.0212382 0.0233852 0.0212382 0.0233852 0.0212382
47890 0.0189625 0.0173274 0.0189625 0.0173274 0.0189625 0.0173274
47892 0.0224575 0.0205716 0.0224575 0.0205716 0.0224575 0.0205716
47893 0.0161754 0.0149042 0.0161754 0.0149042 0.0161754 0.0149042
47940 0.0029307 0.0026163 0.0029307 0.0026163 0.0029307 0.0026163
47944 0.0141854 0.0128777 0.0141854 0.0128777 0.0141854 0.0128777
47946 0.0102986 0.0094385 0.0102986 0.0094385 0.0102986 0.0094385
47972 0.0319794 0.0303962 0.0319794 0.0303962 0.0319794 0.0303962
47975 0.0089816 0.0085701 0.0089816 0.0085701 0.0089816 0.0085701
47976 0.0277847 0.0265770 0.0277847 0.0265770 0.0277847 0.0265770
47977 0.0079001 0.0075666 0.0079001 0.0075666 0.0079001 0.0075666
47978 0.0172609 0.0165468 0.0172609 0.0165468 0.0172609 0.0165468
47979 0.0195081 0.0187220 0.0195081 0.0187220 0.0195081 0.0187220
47982 0.0097477 0.0093673 0.0097477 0.0093673 0.0097477 0.0093673
47999 0.0237485 0.0216119 0.0237485 0.0216119 0.0237485 0.0216119
48001 0.0185028 0.0169593 0.0185028 0.0169593 0.0185028 0.0169593
48002 0.0619616 0.0571319 0.0619616 0.0571319 0.0619616 0.0571319
48008 0.0275819 0.0256844 0.0275819 0.0256844 0.0275819 0.0256844
48011 0.0396491 0.0371258 0.0396491 0.0371258 0.0396491 0.0371258
48073 0.0355636 0.0329591 0.0355636 0.0329591 0.0355636 0.0329591
48079 0.0060453 0.0056690 0.0060453 0.0056690 0.0060453 0.0056690
48082 0.0050089 0.0047054 0.0050089 0.0047054 0.0050089 0.0047054
48084 0.0140285 0.0131979 0.0140285 0.0131979 0.0140285 0.0131979
48085 0.0277594 0.0262360 0.0277594 0.0262360 0.0277594 0.0262360
48086 0.0201879 0.0191140 0.0201879 0.0191140 0.0201879 0.0191140
48089 0.0138311 0.0128623 0.0138311 0.0128623 0.0138311 0.0128623
48097 0.0103386 0.0097835 0.0103386 0.0097835 0.0103386 0.0097835
48099 0.0039497 0.0037406 0.0039497 0.0037406 0.0039497 0.0037406
48166 0 0 0 0 0 0
48181 0.0192541 0.0181824 0.0192541 0.0181824 0.0192541 0.0181824
48185 0.0079922 0.0075719 0.0079922 0.0075719 0.0079922 0.0075719
48230 0.0054233 0.0049792 0.0053497 0.0049117 0.0026826 0.0024629
48233 0.0322985 0.0301284 0.0322985 0.0301284 0.0322985 0.0301284
48236 0.0294047 0.0276006 0.0294047 0.0276006 0.0294047 0.0276006
48237 0.0285823 0.0269063 0.0285823 0.0269063 0.0285823 0.0269063
48239 0.0198198 0.0187539 0.0198198 0.0187539 0.0198198 0.0187539
48240 0.0243187 0.0230512 0.0243187 0.0230512 0.0243187 0.0230512
48244 0 0 0 0 0 0
48245 0.0075880 0.0072093 0.0075880 0.0072093 0.0075880 0.0072093
48246 0.0230647 0.0219363 0.0230647 0.0219363 0.0230647 0.0219363
48253 0.0130348 0.0120783 0.0130348 0.0120783 0.0065173 0.0060391
48255 0.0342027 0.0319736 0.0342027 0.0319736 0.0171014 0.0159868
48256 0.0311795 0.0293307 0.0311795 0.0293307 0.0155898 0.0146654
48257 0.0287049 0.0271120 0.0287049 0.0271120 0.0143524 0.0135560
48258 0.0267158 0.0253099 0.0267158 0.0253099 0.0133579 0.0126549
48259 0.0159587 0.0151509 0.0159587 0.0151509 0.0079793 0.0075755
48260 0.0244245 0.0232547 0.0244245 0.0232547 0.0122123 0.0116274
48261 0.0231565 0.0220867 0.0231565 0.0220867 0.0115783 0.0110433
48262 0.0223893 0.0213885 0.0223893 0.0213885 0.0111947 0.0106943
48263 0.0215351 0.0206014 0.0215351 0.0206014 0.0107675 0.0103007
48265 0.0208658 0.0199903 0.0208658 0.0199903 0.0104329 0.0099952
48290 0.0340298 0.0318226 0.0340298 0.0318226 0.0340298 0.0318226
48291 0.0278825 0.0261846 0.0278825 0.0261846 0.0278825 0.0261846
48293 0.0265585 0.0249992 0.0265585 0.0249992 0.0265585 0.0249992
48294 0.0255152 0.0240636 0.0255152 0.0240636 0.0255152 0.0240636
48295 0.0123209 0.0116349 0.0123209 0.0116349 0.0123209 0.0116349
48307 0.0049371 0.0046015 0.0049371 0.0046015 0.0049371 0.0046015
48312 0.0301327 0.0283348 0.0301327 0.0283348 0.0301327 0.0283348
48313 0.0265521 0.0250658 0.0265521 0.0250658 0.0265521 0.0250658
48318 0.0041767 0.0039573 0.0041767 0.0039573 0.0041767 0.0039573
48320 0.0169868 0.0161147 0.0169868 0.0161147 0.0169868 0.0161147
48323 0.0217650 0.0207173 0.0217650 0.0207173 0.0217650 0.0207173
48325 0.0192702 0.0184080 0.0192702 0.0184080 0.0192702 0.0184080
48326 0.0186936 0.0178822 0.0186936 0.0178822 0.0186936 0.0178822
48327 0.0025509 0.0024436 0.0025509 0.0024436 0.0025509 0.0024436
48336 0.0150027 0.0139708 0.0150027 0.0139708 0.0150027 0.0139708
48337 0.0064183 0.0059897 0.0064183 0.0059897 0.0064183 0.0059897
48341 0.0051906 0.0048574 0.0051906 0.0048574 0.0051906 0.0048574
48342 0.0289666 0.0271822 0.0289666 0.0271822 0.0289666 0.0271822
48343 0.0077177 0.0072551 0.0077177 0.0072551 0.0077177 0.0072551
48346 0.0247644 0.0233529 0.0247644 0.0233529 0.0247644 0.0233529
48347 0.0260888 0.0246470 0.0260888 0.0246470 0.0260888 0.0246470
48348 0.0233822 0.0221250 0.0233822 0.0221250 0.0233822 0.0221250
48349 0.0235743 0.0223405 0.0235743 0.0223405 0.0235743 0.0223405
48352 0.0198975 0.0188849 0.0198975 0.0188849 0.0198975 0.0188849
48356 0.0373886 0.0347339 0.0373886 0.0347339 0.0373886 0.0347339
48357 0.0319318 0.0298617 0.0319318 0.0298617 0.0319318 0.0298617
48358 0.0294262 0.0276412 0.0294262 0.0276412 0.0294262 0.0276412
48359 0.0278960 0.0262898 0.0278960 0.0262898 0.0278960 0.0262898
48364 0.0233653 0.0221636 0.0233653 0.0221636 0.0233653 0.0221636
48366 0.0229496 0.0218106 0.0229496 0.0218106 0.0229496 0.0218106
48367 0.0217704 0.0207229 0.0217704 0.0207229 0.0217704 0.0207229
48368 0.0191922 0.0182942 0.0191922 0.0182942 0.0191922 0.0182942
48369 0.0171941 0.0164073 0.0171941 0.0164073 0.0171941 0.0164073
48398 0.0111965 0.0103940 0.0111965 0.0103940 0.0111965 0.0103940
48409 0.0279258 0.0262007 0.0279258 0.0262007 0.0279258 0.0262007
48410 0.0307774 0.0289680 0.0307774 0.0289680 0.0307774 0.0289680
48412 0.0248147 0.0234515 0.0248147 0.0234515 0.0248147 0.0234515
48416 0.0243440 0.0230466 0.0243440 0.0230466 0.0243440 0.0230466
48417 0.0219827 0.0208473 0.0219827 0.0208473 0.0219827 0.0208473
48418 0.0046214 0.0043874 0.0046214 0.0043874 0.0046214 0.0043874
48421 0.0189854 0.0180546 0.0189854 0.0180546 0.0189854 0.0180546
48423 0.0054760 0.0052130 0.0054760 0.0052130 0.0054760 0.0052130
48455 0.0204930 0.0188563 0.0204930 0.0188563 0.0204930 0.0188563
48456 0.0075804 0.0070038 0.0075804 0.0070038 0.0075804 0.0070038
48461 0.0313375 0.0291696 0.0313375 0.0291696 0.0313375 0.0291696
48462 0.0307007 0.0287057 0.0307007 0.0287057 0.0307007 0.0287057
48469 0.0246133 0.0232394 0.0246133 0.0232394 0.0246133 0.0232394
48471 0.0149269 0.0141180 0.0149269 0.0141180 0.0149269 0.0141180
48510 0.0155754 0.0141852 0.0155754 0.0141852 0.0155754 0.0141852
48511 0.0157412 0.0143656 0.0157412 0.0143656 0.0157412 0.0143656
48512 0.0178343 0.0163274 0.0178343 0.0163274 0.0178343 0.0163274
48513 0.0285131 0.0261932 0.0285131 0.0261932 0.0285131 0.0261932
48514 0.0230196 0.0212354 0.0230196 0.0212354 0.0230196 0.0212354
48516 0.0363283 0.0336361 0.0363283 0.0336361 0.0363283 0.0336361
48518 0.0347299 0.0322516 0.0347299 0.0322516 0.0347299 0.0322516
48519 0.0258242 0.0240305 0.0258242 0.0240305 0.0258242 0.0240305
48520 0.0309565 0.0288967 0.0309565 0.0288967 0.0309565 0.0288967
48521 0.0307459 0.0287503 0.0307459 0.0287503 0.0307459 0.0287503
48522 0.0313887 0.0294043 0.0313887 0.0294043 0.0313887 0.0294043
48529 0.0110398 0.0103744 0.0110398 0.0103744 0.0110398 0.0103744
48530 0.0222576 0.0209546 0.0222576 0.0209546 0.0222576 0.0209546
48531 0.0252538 0.0238025 0.0252538 0.0238025 0.0252538 0.0238025
48532 0.0242331 0.0228658 0.0242331 0.0228658 0.0242331 0.0228658
48533 0.0245480 0.0231872 0.0245480 0.0231872 0.0245480 0.0231872
48635 0.0415359 0.0383235 0.0415359 0.0383235 0.0415359 0.0383235
48636 0.0388384 0.0359825 0.0388384 0.0359825 0.0388384 0.0359825
48645 0.0297210 0.0279340 0.0297210 0.0279340 0.0297210 0.0279340
48656 0.0098285 0.0092710 0.0098285 0.0092710 0.0098285 0.0092710
48657 0.0277203 0.0261775 0.0277203 0.0261775 0.0277203 0.0261775
48658 0.0267944 0.0253387 0.0267944 0.0253387 0.0267944 0.0253387
48660 0.0182727 0.0173060 0.0182727 0.0173060 0.0182727 0.0173060
48701 0.0645847 0.0587594 0.0645847 0.0587594 0.0645847 0.0587594
48720 0.0775089 0.0716068 0.0775089 0.0716068 0.0775089 0.0716068
48721 0.0159248 0.0148081 0.0159248 0.0148081 0.0159248 0.0148081
48722 0.0504402 0.0471788 0.0504402 0.0471788 0.0504402 0.0471788
48725 0.0349488 0.0328861 0.0349488 0.0328861 0.0349488 0.0328861
48726 0.0503527 0.0475612 0.0503527 0.0475612 0.0503527 0.0475612
48727 0.0504093 0.0478071 0.0504093 0.0478071 0.0504093 0.0478071
