RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
49244 0.0432918 0.0394437 0.0432918 0.0394437 0.0432918 0.0394437
49245 0.0188073 0.0172659 0.0188073 0.0172659 0.0188073 0.0172659
49247 0.0003522 0.0003258 0.0003522 0.0003258 0.0003522 0.0003258
49248 0.0666371 0.0620438 0.0666371 0.0620438 0.0666371 0.0620438
49249 0.0388263 0.0363919 0.0388263 0.0363919 0.0388263 0.0363919
49250 0.0269200 0.0253341 0.0269200 0.0253341 0.0269200 0.0253341
49251 0.0107077 0.0100961 0.0107077 0.0100961 0.0107077 0.0100961
49254 0.0131979 0.0124934 0.0131979 0.0124934 0.0131979 0.0124934
49262 0.0228682 0.0212534 0.0228682 0.0212534 0.0228682 0.0212534
49263 0.0243940 0.0227513 0.0243940 0.0227513 0.0243940 0.0227513
49264 0.0414531 0.0388225 0.0414531 0.0388225 0.0414531 0.0388225
49265 0.0592927 0.0558383 0.0592927 0.0558383 0.0592927 0.0558383
49266 0.0187420 0.0177204 0.0187420 0.0177204 0.0187420 0.0177204
49267 0.0446407 0.0422409 0.0446407 0.0422409 0.0446407 0.0422409
49268 0.0159728 0.0151567 0.0159728 0.0151567 0.0159728 0.0151567
49270 0.0176773 0.0168071 0.0176773 0.0168071 0.0176773 0.0168071
49307 0.0482773 0.0445681 0.0482773 0.0445681 0.0482773 0.0445681
49308 0.0145554 0.0134879 0.0145554 0.0134879 0.0145554 0.0134879
49309 0.0203928 0.0189383 0.0203928 0.0189383 0.0203928 0.0189383
49310 0.0213765 0.0199049 0.0213765 0.0199049 0.0213765 0.0199049
49311 0.0069681 0.0065036 0.0069681 0.0065036 0.0069681 0.0065036
49312 0.0446450 0.0417743 0.0446450 0.0417743 0.0446450 0.0417743
49313 0.0081614 0.0076554 0.0081614 0.0076554 0.0081614 0.0076554
49314 0.0338098 0.0317750 0.0338098 0.0317750 0.0338098 0.0317750
49316 0.0334808 0.0315753 0.0334808 0.0315753 0.0334808 0.0315753
49317 0.0056309 0.0053199 0.0056309 0.0053199 0.0056309 0.0053199
49324 0.0588952 0.0532765 0.0588952 0.0532765 0.0588952 0.0532765
49329 0.0179351 0.0166975 0.0179351 0.0166975 0.0179351 0.0166975
49330 0.0245525 0.0229190 0.0245525 0.0229190 0.0245525 0.0229190
49331 0.0549045 0.0515325 0.0549045 0.0515325 0.0549045 0.0515325
49337 0.0534200 0.0481687 0.0534200 0.0481687 0.0534200 0.0481687
49339 0.0090940 0.0083237 0.0090940 0.0083237 0.0090940 0.0083237
49340 0.0100664 0.0092349 0.0100664 0.0092349 0.0100664 0.0092349
49341 0.0153463 0.0141344 0.0153463 0.0141344 0.0153463 0.0141344
49345 0.0329094 0.0306818 0.0329094 0.0306818 0.0329094 0.0306818
49346 0.0110104 0.0102910 0.0110104 0.0102910 0.0110104 0.0102910
49347 0.0087966 0.0082450 0.0087966 0.0082450 0.0087966 0.0082450
49348 0.0357989 0.0336295 0.0357989 0.0336295 0.0357989 0.0336295
49349 0.0159829 0.0150490 0.0159829 0.0150490 0.0159829 0.0150490
49351 0.0189856 0.0179196 0.0189856 0.0179196 0.0189856 0.0179196
49352 0.0407199 0.0385187 0.0407199 0.0385187 0.0407199 0.0385187
49356 0.0674938 0.0599514 0.0674938 0.0599514 0.0674938 0.0599514
49358 0.0581288 0.0529378 0.0581288 0.0529378 0.0581288 0.0529378
49359 0.0494725 0.0455850 0.0494725 0.0455850 0.0494725 0.0455850
49360 0.0302242 0.0280302 0.0302242 0.0280302 0.0302242 0.0280302
49361 0.0530613 0.0494880 0.0530613 0.0494880 0.0530613 0.0494880
49362 0.0105229 0.0098518 0.0105229 0.0098518 0.0105229 0.0098518
49365 0.0463215 0.0436098 0.0463215 0.0436098 0.0463215 0.0436098
49366 0.0263026 0.0248586 0.0263026 0.0248586 0.0263026 0.0248586
49367 0.0373962 0.0354577 0.0373962 0.0354577 0.0373962 0.0354577
49368 0.0091503 0.0086954 0.0091503 0.0086954 0.0091503 0.0086954
49369 0.0092763 0.0088246 0.0092763 0.0088246 0.0092763 0.0088246
49374 0.0507365 0.0464357 0.0507365 0.0464357 0.0507365 0.0464357
49376 0.0314307 0.0288940 0.0314307 0.0288940 0.0314307 0.0288940
49377 0.0005105 0.0004709 0.0005105 0.0004709 0.0005105 0.0004709
49378 0.0496769 0.0460145 0.0496769 0.0460145 0.0496769 0.0460145
49379 0.0154871 0.0144061 0.0154871 0.0144061 0.0154871 0.0144061
49380 0.0363111 0.0338491 0.0363111 0.0338491 0.0363111 0.0338491
49381 0.0207687 0.0194035 0.0207687 0.0194035 0.0207687 0.0194035
49382 0.0286836 0.0268483 0.0286836 0.0268483 0.0286836 0.0268483
49383 0.0391785 0.0367590 0.0391785 0.0367590 0.0391785 0.0367590
49384 0.0164799 0.0154914 0.0164799 0.0154914 0.0164799 0.0154914
49385 0.0308258 0.0291126 0.0308258 0.0291126 0.0308258 0.0291126
49390 0.0164928 0.0156542 0.0164928 0.0156542 0.0164928 0.0156542
49432 0.0345245 0.0313494 0.0345245 0.0313494 0.0345245 0.0313494
49433 0.0829677 0.0762183 0.0829677 0.0762183 0.0829677 0.0762183
49434 0.0723865 0.0671826 0.0723865 0.0671826 0.0723865 0.0671826
49435 0.0622361 0.0581868 0.0622361 0.0581868 0.0622361 0.0581868
49437 0.0097398 0.0091407 0.0097398 0.0091407 0.0097398 0.0091407
49438 0.0570283 0.0536745 0.0570283 0.0536745 0.0570283 0.0536745
49439 0.0154038 0.0145409 0.0154038 0.0145409 0.0154038 0.0145409
49440 0.0169844 0.0160557 0.0169844 0.0160557 0.0169844 0.0160557
49445 0.0127865 0.0114010 0.0127865 0.0114010 0.0127865 0.0114010
49446 0.0263111 0.0236564 0.0263111 0.0236564 0.0263111 0.0236564
49447 0.0843296 0.0767449 0.0843296 0.0767449 0.0843296 0.0767449
49448 0.0434739 0.0399360 0.0434739 0.0399360 0.0434739 0.0399360
49449 0.0088938 0.0081973 0.0088938 0.0081973 0.0088938 0.0081973
49451 0.0686911 0.0636065 0.0686911 0.0636065 0.0686911 0.0636065
49452 0.0254657 0.0237075 0.0254657 0.0237075 0.0254657 0.0237075
49453 0.0268520 0.0250568 0.0268520 0.0250568 0.0268520 0.0250568
49454 0.0170010 0.0158959 0.0170010 0.0158959 0.0170010 0.0158959
49455 0.0059810 0.0055981 0.0059810 0.0055981 0.0059810 0.0055981
49456 0.0588851 0.0552513 0.0588851 0.0552513 0.0588851 0.0552513
49457 0.0212423 0.0199875 0.0212423 0.0199875 0.0212423 0.0199875
49464 0.0497846 0.0443521 0.0497846 0.0443521 0.0497846 0.0443521
49466 0.0275752 0.0249373 0.0275752 0.0249373 0.0275752 0.0249373
49468 0.0430258 0.0393986 0.0430258 0.0393986 0.0430258 0.0393986
49652 0.0178002 0.0157168 0.0178002 0.0157168 0.0178002 0.0157168
49653 0.0284360 0.0252420 0.0284360 0.0252420 0.0284360 0.0252420
49655 0.0970789 0.0877338 0.0970789 0.0877338 0.0970789 0.0877338
49656 0.0417243 0.0381228 0.0417243 0.0381228 0.0417243 0.0381228
49658 0.0095785 0.0087991 0.0095785 0.0087991 0.0095785 0.0087991
49659 0.0374046 0.0344506 0.0374046 0.0344506 0.0374046 0.0344506
49660 0.0211155 0.0195054 0.0211155 0.0195054 0.0211155 0.0195054
49661 0.0274806 0.0254766 0.0274806 0.0254766 0.0274806 0.0254766
49662 0.0152185 0.0141376 0.0152185 0.0141376 0.0152185 0.0141376
49664 0.0149747 0.0139370 0.0149747 0.0139370 0.0149747 0.0139370
49736 0.0077280 0.0069888 0.0077280 0.0069888 0.0077280 0.0069888
49737 0.0555631 0.0506569 0.0555631 0.0506569 0.0555631 0.0506569
49742 0.0084638 0.0077851 0.0084638 0.0077851 0.0084638 0.0077851
49743 0.0183023 0.0168755 0.0183023 0.0168755 0.0183023 0.0168755
49749 0.0599666 0.0559715 0.0599666 0.0559715 0.0599666 0.0559715
49751 0.0279755 0.0262677 0.0279755 0.0262677 0.0279755 0.0262677
49752 0.0090772 0.0085441 0.0090772 0.0085441 0.0090772 0.0085441
49756 0.0214407 0.0187337 0.0214407 0.0187337 0.0214407 0.0187337
49758 0.0396557 0.0351111 0.0396557 0.0351111 0.0396557 0.0351111
49760 0.0324264 0.0292470 0.0324264 0.0292470 0.0324264 0.0292470
49761 0.0106012 0.0095948 0.0106012 0.0095948 0.0106012 0.0095948
49762 0.0081456 0.0073861 0.0081456 0.0073861 0.0081456 0.0073861
49919 0.0262548 0.0236806 0.0262548 0.0236806 0.0262548 0.0236806
49922 0.0652702 0.0595666 0.0652702 0.0595666 0.0652702 0.0595666
49923 0.0677937 0.0623115 0.0677937 0.0623115 0.0677937 0.0623115
49925 0.0141947 0.0130985 0.0141947 0.0130985 0.0141947 0.0130985
49926 0.0284923 0.0263444 0.0284923 0.0263444 0.0284923 0.0263444
49928 0.0051726 0.0047906 0.0051726 0.0047906 0.0051726 0.0047906
49930 0.0054029 0.0050120 0.0054029 0.0050120 0.0054029 0.0050120
49934 0.0281618 0.0262901 0.0281618 0.0262901 0.0281618 0.0262901
49959 0.0185118 0.0166213 0.0185118 0.0166213 0.0185118 0.0166213
49962 0.0214146 0.0195220 0.0214146 0.0195220 0.0214146 0.0195220
49964 0.0234505 0.0214443 0.0234505 0.0214443 0.0234505 0.0214443
49966 0.0240445 0.0221044 0.0240445 0.0221044 0.0240445 0.0221044
49967 0.0179571 0.0165479 0.0179571 0.0165479 0.0179571 0.0165479
49968 0.0688298 0.0636752 0.0688298 0.0636752 0.0688298 0.0636752
49969 0.0632748 0.0588528 0.0632748 0.0588528 0.0632748 0.0588528
49970 0.0568597 0.0531090 0.0568597 0.0531090 0.0568597 0.0531090
50033 0.0098355 0.0087069 0.0098355 0.0087069 0.0098355 0.0087069
50034 0.0836520 0.0757325 0.0836520 0.0757325 0.0836520 0.0757325
50036 0.0559277 0.0513341 0.0559277 0.0513341 0.0559277 0.0513341
50045 0.0560674 0.0522735 0.0560674 0.0522735 0.0560674 0.0522735
50046 0.0171971 0.0160878 0.0171971 0.0160878 0.0171971 0.0160878
50047 0.0196759 0.0184349 0.0196759 0.0184349 0.0196759 0.0184349
50068 0.0296826 0.0267793 0.0296826 0.0267793 0.0296826 0.0267793
50070 0.0179313 0.0162767 0.0179313 0.0162767 0.0179313 0.0162767
50073 0.0150160 0.0137477 0.0150160 0.0137477 0.0150160 0.0137477
50076 0.0162345 0.0150006 0.0162345 0.0150006 0.0162345 0.0150006
50253 0.0109861 0.0101619 0.0109861 0.0101619 0.0109861 0.0101619
50262 0.0669562 0.0622201 0.0669562 0.0622201 0.0669562 0.0622201
50283 0.0632402 0.0591998 0.0632402 0.0591998 0.0632402 0.0591998
50330 0.0256537 0.0241711 0.0256537 0.0241711 0.0256537 0.0241711
50343 0.0326905 0.0308594 0.0326905 0.0308594 0.0326905 0.0308594
50356 0.0146609 0.0138585 0.0146609 0.0138585 0.0146609 0.0138585
50376 0.0491230 0.0465574 0.0491230 0.0465574 0.0491230 0.0465574
50463 0.0367817 0.0336833 0.0367817 0.0336833 0.0367817 0.0336833
50464 0.0737908 0.0683746 0.0737908 0.0683746 0.0737908 0.0683746
50465 0.0664669 0.0621564 0.0664669 0.0621564 0.0664669 0.0621564
50466 0.0539583 0.0507585 0.0539583 0.0507585 0.0539583 0.0507585
50467 0.0109329 0.0103146 0.0109329 0.0103146 0.0109329 0.0103146
50468 0.0175721 0.0165979 0.0175721 0.0165979 0.0175721 0.0165979
50470 0.0105800 0.0100060 0.0105800 0.0100060 0.0105800 0.0100060
50471 0.0051065 0.0048324 0.0051065 0.0048324 0.0051065 0.0048324
50483 0.0082914 0.0078701 0.0082914 0.0078701 0.0082914 0.0078701
50491 0.0281882 0.0257786 0.0281882 0.0257786 0.0281882 0.0257786
50492 0.0525460 0.0483240 0.0525460 0.0483240 0.0525460 0.0483240
50496 0.0724426 0.0672957 0.0724426 0.0672957 0.0724426 0.0672957
50497 0.0603742 0.0564542 0.0603742 0.0564542 0.0603742 0.0564542
50500 0.0528289 0.0496558 0.0528289 0.0496558 0.0528289 0.0496558
50501 0.0399740 0.0377134 0.0399740 0.0377134 0.0399740 0.0377134
50520 0.0262414 0.0242161 0.0262414 0.0242161 0.0262414 0.0242161
50522 0.0128339 0.0118942 0.0128339 0.0118942 0.0128339 0.0118942
50526 0.0249207 0.0231611 0.0249207 0.0231611 0.0249207 0.0231611
50527 0.0111718 0.0104024 0.0111718 0.0104024 0.0111718 0.0104024
50528 0.0181552 0.0169355 0.0181552 0.0169355 0.0181552 0.0169355
50529 0.0360045 0.0336639 0.0360045 0.0336639 0.0360045 0.0336639
50531 0.0052026 0.0048760 0.0052026 0.0048760 0.0052026 0.0048760
50535 0.0130862 0.0122824 0.0130862 0.0122824 0.0130862 0.0122824
50536 0.0443378 0.0416996 0.0443378 0.0416996 0.0443378 0.0416996
50546 0.0207299 0.0187392 0.0207299 0.0187392 0.0207299 0.0187392
50548 0.0795930 0.0726247 0.0795930 0.0726247 0.0795930 0.0726247
50549 0.0275649 0.0253461 0.0275649 0.0253461 0.0275649 0.0253461
50550 0.0366528 0.0338337 0.0366528 0.0338337 0.0366528 0.0338337
50551 0.0203156 0.0188185 0.0203156 0.0188185 0.0203156 0.0188185
50554 0.0275728 0.0258358 0.0275728 0.0258358 0.0275728 0.0258358
50561 0.0215257 0.0196475 0.0215257 0.0196475 0.0215257 0.0196475
50563 0.0109793 0.0100857 0.0109793 0.0100857 0.0109793 0.0100857
50564 0.0084668 0.0077906 0.0084668 0.0077906 0.0084668 0.0077906
50569 0.0203805 0.0188843 0.0203805 0.0188843 0.0203805 0.0188843
50599 0.0533927 0.0487945 0.0533927 0.0487945 0.0533927 0.0487945
50600 0.0241672 0.0222034 0.0241672 0.0222034 0.0241672 0.0222034
50601 0.0199876 0.0184253 0.0199876 0.0184253 0.0199876 0.0184253
50602 0.0445052 0.0411825 0.0445052 0.0411825 0.0445052 0.0411825
50603 0.0644749 0.0600154 0.0644749 0.0600154 0.0644749 0.0600154
50605 0.0183346 0.0171416 0.0183346 0.0171416 0.0183346 0.0171416
50606 0.0371586 0.0348150 0.0371586 0.0348150 0.0371586 0.0348150
50607 0.0095094 0.0089271 0.0095094 0.0089271 0.0095094 0.0089271
50613 0.0541935 0.0479091 0.0541935 0.0479091 0.0541935 0.0479091
50615 0.0168322 0.0152522 0.0168322 0.0152522 0.0168322 0.0152522
50650 0.0068797 0.0062468 0.0068797 0.0062468 0.0068797 0.0062468
50655 0.0110995 0.0102904 0.0110995 0.0102904 0.0110995 0.0102904
50658 0.0613189 0.0573274 0.0613189 0.0573274 0.0613189 0.0573274
50660 0.0091457 0.0085853 0.0091457 0.0085853 0.0091457 0.0085853
50661 0.0025231 0.0023702 0.0025231 0.0023702 0.0025231 0.0023702
50662 0.0147490 0.0138670 0.0147490 0.0138670 0.0147490 0.0138670
50663 0.0199933 0.0188233 0.0199933 0.0188233 0.0199933 0.0188233
50664 0.0204532 0.0192845 0.0204532 0.0192845 0.0204532 0.0192845
50666 0.0056313 0.0053184 0.0056313 0.0053184 0.0056313 0.0053184
50668 0.0354974 0.0336369 0.0354974 0.0336369 0.0354974 0.0336369
50670 0.0047353 0.0045044 0.0047353 0.0045044 0.0047353 0.0045044
50671 0.0420661 0.0400786 0.0420661 0.0400786 0.0420661 0.0400786
50673 0.0316672 0.0302373 0.0316672 0.0302373 0.0316672 0.0302373
50674 0.0119472 0.0114228 0.0119472 0.0114228 0.0119472 0.0114228
50676 0.0052535 0.0050295 0.0052535 0.0050295 0.0052535 0.0050295
50677 0.0058180 0.0055750 0.0058180 0.0055750 0.0058180 0.0055750
50853 0.0101541 0.0094063 0.0101541 0.0094063 0.0101541 0.0094063
50857 0.0608631 0.0570041 0.0608631 0.0570041 0.0608631 0.0570041
50874 0.0362765 0.0331923 0.0362765 0.0331923 0.0362765 0.0331923
50875 0.0143413 0.0131804 0.0143413 0.0131804 0.0143413 0.0131804
50885 0.0228937 0.0202066 0.0228937 0.0202066 0.0228937 0.0202066
50886 0.0210362 0.0187613 0.0210362 0.0187613 0.0210362 0.0187613
50887 0.0078840 0.0071201 0.0078840 0.0071201 0.0078840 0.0071201
50889 0.0080251 0.0072792 0.0080251 0.0072792 0.0080251 0.0072792
50897 0.0124843 0.0114472 0.0124843 0.0114472 0.0124843 0.0114472
50962 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
50965 0.0167265 0.0154221 0.0167265 0.0154221 0.0167265 0.0154221
50969 0.0243377 0.0225166 0.0243377 0.0225166 0.0243377 0.0225166
50981 0.0399077 0.0372656 0.0399077 0.0372656 0.0399077 0.0372656
50987 0.0243493 0.0228354 0.0243493 0.0228354 0.0243493 0.0228354
50992 0.0200413 0.0188377 0.0200413 0.0188377 0.0200413 0.0188377
50996 0.0253311 0.0238589 0.0253311 0.0238589 0.0253311 0.0238589
51012 0.0188782 0.0178599 0.0188782 0.0178599 0.0188782 0.0178599
51015 0.0255326 0.0241970 0.0255326 0.0241970 0.0255326 0.0241970
51093 0.0106345 0.0094235 0.0106345 0.0094235 0.0106345 0.0094235
51095 0.0053979 0.0052376 0.0053979 0.0052376 0.0053979 0.0052376
51152 0.0143427 0.0131758 0.0143427 0.0131758 0.0143427 0.0131758
51154 0.0076759 0.0070844 0.0076759 0.0070844 0.0076759 0.0070844
51160 0.0263336 0.0247139 0.0263336 0.0247139 0.0263336 0.0247139
51161 0.0514242 0.0486676 0.0514242 0.0486676 0.0514242 0.0486676
51162 0.0152848 0.0145627 0.0152848 0.0145627 0.0152848 0.0145627
51163 0.0040185 0.0038361 0.0040185 0.0038361 0.0040185 0.0038361
51166 0.0043492 0.0041620 0.0043492 0.0041620 0.0043492 0.0041620
51167 0.0280836 0.0269330 0.0280836 0.0269330 0.0280836 0.0269330
51171 0.0338248 0.0301460 0.0338248 0.0301460 0.0338248 0.0301460
51172 0.0098195 0.0088322 0.0098195 0.0088322 0.0098195 0.0088322
51176 0.0196641 0.0181035 0.0196641 0.0181035 0.0196641 0.0181035
51177 0.0066095 0.0061083 0.0066095 0.0061083 0.0066095 0.0061083
51179 0.0145823 0.0136575 0.0145823 0.0136575 0.0145823 0.0136575
51183 0.0060116 0.0056673 0.0060116 0.0056673 0.0060116 0.0056673
51188 0.0107794 0.0101884 0.0107794 0.0101884 0.0107794 0.0101884
51200 0.0250822 0.0229255 0.0250822 0.0229255 0.0250822 0.0229255
51201 0.0155634 0.0143975 0.0155634 0.0143975 0.0155634 0.0143975
51202 0.0123525 0.0114942 0.0123525 0.0114942 0.0123525 0.0114942
51208 0.0232124 0.0218129 0.0232124 0.0218129 0.0232124 0.0218129
51209 0.0265383 0.0250146 0.0265383 0.0250146 0.0265383 0.0250146
51210 0.0252664 0.0238855 0.0252664 0.0238855 0.0252664 0.0238855
51211 0.0267423 0.0253534 0.0267423 0.0253534 0.0267423 0.0253534
51212 0.0429522 0.0408334 0.0429522 0.0408334 0.0429522 0.0408334
51213 0.0054620 0.0052024 0.0054620 0.0052024 0.0054620 0.0052024
51214 0.0085333 0.0081326 0.0085333 0.0081326 0.0085333 0.0081326
51215 0.0319086 0.0304560 0.0319086 0.0304560 0.0319086 0.0304560
51220 0.0348956 0.0309167 0.0348956 0.0309167 0.0348956 0.0309167
51221 0.0333798 0.0298628 0.0333798 0.0298628 0.0333798 0.0298628
51222 0.0433430 0.0398120 0.0433430 0.0398120 0.0433430 0.0398120
51225 0.0132764 0.0123941 0.0132764 0.0123941 0.0132764 0.0123941
51229 0.0177670 0.0168761 0.0177670 0.0168761 0.0177670 0.0168761
51230 0.0118910 0.0113370 0.0118910 0.0113370 0.0118910 0.0113370
51234 0.1146333 0.1023397 0.1146333 0.1023397 0.1146333 0.1023397
51236 0.0236850 0.0218740 0.0236850 0.0218740 0.0236850 0.0218740
51237 0.0080419 0.0074756 0.0080419 0.0074756 0.0080419 0.0074756
51274 0.0174907 0.0169387 0.0174907 0.0169387 0.0174907 0.0169387
51277 0.0381346 0.0371107 0.0381346 0.0371107 0.0190673 0.0185554
51279 0.0306842 0.0299411 0.0306842 0.0299411 0.0306842 0.0299411
51281 0.0277936 0.0271608 0.0277936 0.0271608 0.0277936 0.0271608
51282 0.0467950 0.0458065 0.0467950 0.0458065 0.0467950 0.0458065
51283 0.0301103 0.0295142 0.0301103 0.0295142 0.0301103 0.0295142
51285 0.0082874 0.0081377 0.0082874 0.0081377 0.0082874 0.0081377
51297 0.0456010 0.0443947 0.0456010 0.0443947 0.0228005 0.0221973
51300 0.0386203 0.0377814 0.0386203 0.0377814 0.0386203 0.0377814
51301 0.0463591 0.0454158 0.0463591 0.0454158 0.0463591 0.0454158
51335 0.0396127 0.0383751 0.0396127 0.0383751 0.0396127 0.0383751
51337 0.0587724 0.0572104 0.0587724 0.0572104 0.0587724 0.0572104
51370 0.0005812 0.0005795 0.0005812 0.0005795 0.0005812 0.0005795
51374 0.0006270 0.0006248 0.0006270 0.0006248 0.0006270 0.0006248
51487 0.0108245 0.0105321 0.0108245 0.0105321 0 0
51490 0.0146197 0.0142780 0.0146197 0.0142780 0.0146197 0.0142780
51491 0.0237264 0.0232152 0.0237264 0.0232152 0.0237264 0.0232152
51492 0.0029716 0.0029110 0.0029716 0.0029110 0.0029716 0.0029110
51493 0.0168038 0.0164737 0.0168038 0.0164737 0.0168038 0.0164737
51494 0.0359741 0.0353120 0.0359741 0.0353120 0.0359741 0.0353120
51495 0.0175708 0.0172626 0.0175708 0.0172626 0.0175708 0.0172626
51502 0.0057648 0.0056003 0.0057648 0.0056003 0 0
51504 0.0175771 0.0171236 0.0175771 0.0171236 0 0
51506 0.0000000 0.0000000 0.0000000 0.0000000 0 0
51508 0.0332203 0.0325505 0.0332203 0.0325505 0 0
51509 0.0206496 0.0202580 0.0206496 0.0202580 0 0
51510 0.0261583 0.0256849 0.0261583 0.0256849 0 0
51511 0.0271869 0.0267185 0.0271869 0.0267185 0 0
51517 0.0185967 0.0180131 0.0185967 0.0180131 0 0
51518 0.0573907 0.0557952 0.0573907 0.0557952 0 0
51520 0.0444185 0.0433801 0.0444185 0.0433801 0 0
51562 0.0308463 0.0301138 0.0154233 0.0150570 0 0
51565 0.0233967 0.0229345 0.0233967 0.0229345 0 0
51570 0.0136927 0.0132657 0.0045644 0.0044220 0 0
51572 0.0164676 0.0160067 0.0054892 0.0053355 0 0
51573 0.0555682 0.0541289 0.0277840 0.0270643 0 0
51574 0.0507953 0.0496011 0.0253976 0.0248005 0 0
51575 0.0166394 0.0162689 0.0166394 0.0162689 0 0
51576 0.0100385 0.0098217 0.0100385 0.0098217 0 0
51605 0.0102464 0.0099229 0.0040984 0.0039690 0 0
51607 0 0 0.0011347 0.0011035 0 0
51619 0 0 0.0009857 0.0009679 0 0
51709 0 0 0 0 0.0401933 0.0393307
51710 0 0 0 0 0.0232077 0.0227395
51711 0 0 0 0 0.0346544 0.0339901
51713 0 0 0 0 0.0037696 0.0037013
51715 0 0 0 0 0.0065243 0.0064091
51716 0 0 0 0 0.0052591 0.0051672
51718 0 0 0 0 0.0042652 0.0041916
51735 0 0 0 0 0 0
51736 0 0 0 0 0 0
51740 0 0 0 0 0 0
51742 0 0 0 0 0.0096854 0.0095114
51777 0 0 0 0 0 0
51824 0 0 0 0 0 0
51827 0 0 0 0 0.0440966 0.0431951
51830 0 0 0 0 0.0358295 0.0352270
51837 0 0 0 0 0 0
51839 0 0 0 0 0.0322546 0.0315306
51841 0 0 0 0 0.0031427 0.0030769
51843 0 0 0 0 0.0061861 0.0060612
51854 0 0 0 0 0.0061172 0.0060136
51858 0 0 0 0 0.0201618 0.0198382
51874 0 0 0 0 0.0322772 0.0314688
51881 0 0 0 0 0.0458864 0.0449254
51886 0 0 0 0 0.0078861 0.0077324
51900 0 0 0 0 0.0305979 0.0301501
51901 0 0 0 0 0.0026916 0.0026533
51902 0 0 0 0 0.0108797 0.0107268
51905 0 0 0 0 0 0
51907 0 0 0 0 0.0263934 0.0257235
51908 0 0 0 0 0.0381705 0.0372617
51909 0 0 0 0 0.0242688 0.0237284
51914 0 0 0 0 0 0
51915 0 0 0 0 0 0
51922 0 0 0 0 0.0197523 0.0193385
51924 0 0 0 0 0.0232056 0.0227514
51927 0 0 0 0 0.0297405 0.0292181
51928 0 0 0 0 0.0344113 0.0338602
51933 0 0 0 0 0 0
51934 0 0 0 0 0 0
51940 0 0 0 0 0.0093103 0.0090729
51945 0 0 0 0 0.0191920 0.0187854
51946 0 0 0 0 0.0178410 0.0174735
51949 0 0 0 0 0.0110646 0.0108629
51952 0 0 0 0 0.0047770 0.0046923
51953 0 0 0 0 0.0021317 0.0020942
51954 0 0 0 0 0.0293624 0.0288594
51958 0 0 0 0 0.0026751 0.0026309
51977 0 0 0 0 0.0065215 0.0063864
51978 0 0 0 0 0.0056305 0.0055171
51982 0 0 0 0 0.0047691 0.0046863
51985 0 0 0 0 0.0343381 0.0337862
51986 0 0 0 0 0.0079049 0.0077823
51987 0 0 0 0 0.0105448 0.0103876
51990 0 0 0 0 0.0085433 0.0084232
51997 0 0 0 0 0 0
51998 0 0 0 0 0 0
51999 0 0 0 0 0.0102529 0.0099959
52005 0 0 0 0 0.0185952 0.0181664
52015 0 0 0 0 0.0408426 0.0399700
52018 0 0 0 0 0.0364185 0.0356892
52022 0 0 0 0 0.0162917 0.0160115
52026 0 0 0 0 0 0
52030 0 0 0 0 0.0262370 0.0256416
52032 0 0 0 0 0.0085140 0.0083407
52035 0 0 0 0 0.0095351 0.0093516
52036 0 0 0 0 0.0049550 0.0048609
52037 0 0 0 0 0.0392563 0.0385324
52044 0 0 0 0 0.0046125 0.0045009
52046 0 0 0 0 0.0312647 0.0306379
52047 0 0 0 0 0.0390044 0.0382920
52048 0 0 0 0 0.0365433 0.0359213
52049 0 0 0 0 0.0340476 0.0335059
52052 0 0 0 0 0.0083450 0.0082237
52060 0 0 0 0 0 0
52062 0 0 0 0 0.0167386 0.0162795
52067 0 0 0 0 0 0
52068 0 0 0 0 0.0140723 0.0136698
52069 0 0 0 0 0.0377913 0.0367646
52097 0 0 0 0 0 0
52099 0 0 0 0 0 0
52101 0 0 0 0 0 0
52102 0 0 0 0 0 0
52103 0 0 0 0 0.0000000 0.0000000
52107 0 0 0 0 0.0000000 0.0000000
52108 0 0 0 0 0.0000000 0.0000000
52110 0 0 0 0 0.0000000 0.0000000
52111 0 0 0 0 0.0000000 0.0000000
52112 0 0 0 0 0.0000000 0.0000000
52145 0 0 0 0 0.0000000 0.0000000
52146 0 0 0 0 0.0000000 0.0000000
52265 0 0 0 0 0 0
52266 0 0 0 0 0.0219645 0.0212820
52269 0 0 0 0 0.0000000 0.0000000
52270 0 0 0 0 0.0000000 0.0000000
52271 0 0 0 0 0.0000000 0.0000000
52278 0 0 0 0 0.0097687 0.0095886
52286 0 0 0 0 0 0
52288 0 0 0 0 0.0000000 0.0000000
52289 0 0 0 0 0.0000000 0.0000000
52290 0 0 0 0 0.0000000 0.0000000
52291 0 0 0 0 0.0000000 0.0000000
52292 0 0 0 0 0.0176305 0.0172967
52294 0 0 0 0 0.0000000 0.0000000
52296 0 0 0 0 0.0000000 0.0000000
52302 0 0 0 0 0 0
52303 0 0 0 0 0.0057752 0.0055956
52304 0 0 0 0 0.0094685 0.0091836
52308 0 0 0 0 0.0051201 0.0049801
52309 0 0 0 0 0.0050091 0.0048753
52314 0 0 0 0 0.0186009 0.0181349
52318 0 0 0 0 0.0000000 0.0000000
52323 0 0 0 0 0.0000000 0.0000000
52324 0 0 0 0 0.0000000 0.0000000
52325 0 0 0 0 0.0000000 0.0000000
52326 0 0 0 0 0.0000000 0.0000000
