run,width,offset
65919,24,original
65920,25,original
65921,26,original
65922,27,original
65923,28,original
65924,29,original
65925,30,original
65926,31,original
65927,32,original
65928,33,original
65929,34,original
65930,35,original
65931,36,original
65932,37,original
65933,38,original
65934,39,original
65935,40,original
65938,24,new
65939,25,new
65940,26,new
65941,27,new
65942,28,new
65943,29,new
65944,30,new
65945,31,new
65946,32,new
65947,33,new
65948,34,new
65949,35,new
65950,36,new
65951,37,new
65952,38,new
65953,39,new
65954,40,new
