run,offset
57609,500
57610,400
57611,300
57612,200
57613,100
57614,0
57615,-100
57616,-200
57617,-300
57618,-400
57619,-500
57620,-600
57621,-700
57622,-800
57623,-900
57624,-1000
57625,-1100
57626,-1200
57627,-1300
57628,-1400
57629,-1500
57630,-1600
57631,-1700
57632,-1800
57633,-1900
57634,-2000
