run,offset
59162,2000
59163,1900
59164,1800
59165,1700
59166,1600
59167,1500
59168,1400
59169,1300
59170,1200
59171,1100
59174,1000
59175,900
59176,800
59177,700
59178,600
59179,500
59180,400
59181,300
59182,200
59183,100
59184,0
59185,-100
59186,-200
59187,-300
59188,-400
59189,-500
59190,-600
59191,-700
59192,-800
59193,-900
59194,-1000
59195,-1100
59196,-1200
59197,-1300
59198,-1400
59199,-1500
59200,-1600
59202,-1700
59203,-1800
59204,-1900
59205,-2000
