run,width,offset
61221,26,original
61222,27,original
61223,28,original
61224,29,original
61225,30,original
61226,31,original
61227,32,original
61228,26,-2000
61229,27,-2000
61230,28,-2000
61231,29,-2000
61232,30,-2000
61233,31,-2000
61234,32,-2000
61235,26,-1800
61236,27,-1800
61237,28,-1800
61238,29,-1800
61239,30,-1800
61240,31,-1800
61241,32,-1800
61242,26,-1600
61243,27,-1600
61244,28,-1600
61245,29,-1600
61246,30,-1600
61247,31,-1600
61248,32,-1600
61249,26,-1400
61250,27,-1400
61251,28,-1400
61252,29,-1400
61253,30,-1400
61254,31,-1400
61255,32,-1400
61256,26,-1200
61257,27,-1200
61258,28,-1200
61259,29,-1200
61260,30,-1200
61261,31,-1200
61262,32,-1200
61263,26,-1000
61264,27,-1000
61265,28,-1000
61266,29,-1000
61267,30,-1000
61268,31,-1000
61269,32,-1000
61270,26,-800
61272,27,-800
61273,28,-800
61274,29,-800
61275,30,-800
61276,31,-800
61277,32,-800
61278,26,-600
61279,27,-600
61280,28,-600
61281,29,-600
61282,30,-600
61283,31,-600
61284,32,-600
61285,26,-400
61286,27,-400
61287,28,-400
61288,29,-400
61289,30,-400
61290,31,-400
61291,32,-400
61292,26,-200
61293,27,-200
61294,28,-200
61295,29,-200
61296,30,-200
61297,31,-200
61298,32,-200
61299,26,0
61300,27,0
61301,28,0
61302,29,0
61303,30,0
61304,31,0
61305,32,0
61306,26,200
61307,27,200
61308,28,200
61309,29,200
61310,30,200
61311,31,200
61312,32,200
61313,26,400
61314,27,400
61315,28,400
61316,29,400
61317,30,400
61318,31,400
61319,32,400
61320,26,600
61321,27,600
61322,28,600
61323,29,600
61324,30,600
61325,31,600
61326,32,600
61327,26,800
61328,27,800
61329,28,800
61330,29,800
61331,30,800
61332,31,800
61333,32,800
61334,26,1000
61335,27,1000
61336,28,1000
61337,29,1000
61338,30,1000
61339,31,1000
61340,32,1000
61341,26,1200
61342,27,1200
61343,28,1200
61344,29,1200
61345,30,1200
61346,31,1200
61347,32,1200
61348,26,1400
61349,27,1400
61350,28,1400
61351,29,1400
61352,30,1400
61353,31,1400
61354,32,1400
61355,26,1600
61356,27,1600
61357,28,1600
61358,29,1600
61360,30,1600
61361,31,1600
61362,32,1600
61363,26,1800
61364,27,1800
61365,28,1800
61366,29,1800
61367,30,1800
61368,31,1800
61369,32,1800
61370,26,2000
61371,27,2000
61372,28,2000
61373,29,2000
61374,30,2000
61375,31,2000
61376,32,2000
