run,width,offset
62907,30,100
62908,31,100
62909,32,100
62911,33,100
62912,34,100
62913,35,100
62914,36,100
62915,37,100
62916,38,100
62917,39,100
62918,40,100
62919,24,200
62920,25,200
62921,26,200
62922,27,200
62923,28,200
62924,29,200
62925,30,200
62926,31,200
62927,32,200
62928,33,200
62929,34,200
62930,35,200
62931,36,200
62932,37,200
62933,38,200
62934,39,200
62935,40,200
62936,24,300
62937,25,300
62938,26,300
62939,27,300
62940,28,300
62941,29,300
62942,30,300
62943,31,300
62944,32,300
62945,33,300
62946,34,300
62947,35,300
62948,36,300
62949,37,300
62950,38,300
62951,39,300
62952,40,300
62953,24,400
62954,25,400
62955,26,400
62956,27,400
62957,28,400
62958,29,400
62959,30,400
62960,31,400
62961,32,400
62962,33,400
62963,34,400
62964,35,400
62965,36,400
62966,37,400
62967,38,400
62968,39,400
62969,40,400
62970,24,500
62971,25,500
62972,26,500
62973,27,500
62974,28,500
62975,29,500
62976,30,500
62977,31,500
62978,32,500
62979,33,500
62980,34,500
62981,35,500
62982,36,500
62983,37,500
62984,38,500
62985,39,500
62986,40,500
62987,24,600
62988,25,600
62989,26,600
62990,27,600
62991,28,600
62992,29,600
62993,30,600
62994,31,600
62995,32,600
62996,33,600
62997,34,600
62998,35,600
62999,36,600
63000,37,600
63001,38,600
63002,39,600
63003,40,600
63004,24,700
63005,25,700
63006,26,700
63007,27,700
63008,28,700
63009,29,700
63010,30,700
63011,31,700
63012,32,700
63013,33,700
63014,34,700
63015,35,700
63016,36,700
63017,37,700
63018,38,700
63019,39,700
63020,40,700
63021,24,800
63022,25,800
63023,26,800
63024,27,800
63025,28,800
63026,29,800
63027,30,800
63028,31,800
63030,32,800
63031,33,800
63032,34,800
63033,35,800
63034,36,800
63035,37,800
63036,38,800
63037,39,800
63038,40,800
63039,24,900
63040,25,900
63041,26,900
63042,27,900
63043,28,900
63044,29,900
63045,30,900
63046,31,900
63047,32,900
63048,33,900
63049,34,900
63050,35,900
63051,36,900
63052,37,900
63053,38,900
63054,39,900
63055,40,900
63056,24,1000
63057,25,1000
63058,26,1000
63059,27,1000
63060,28,1000
63061,29,1000
63062,30,1000
63063,31,1000
63064,32,1000
63065,33,1000
63066,34,1000
63067,35,1000
63068,36,1000
63069,37,1000
63070,38,1000
63071,39,1000
63072,40,1000
63073,24,1100
63074,25,1100
63075,26,1100
