run,width,offset
65027,24,original
65028,25,original
65029,26,original
65030,27,original
65031,28,original
65032,29,original
65033,30,original
65034,31,original
65035,32,original
65036,33,original
65037,34,original
65038,35,original
65039,36,original
65040,37,original
65041,38,original
65042,39,original
65043,40,original
65044,24,new
65045,25,new
65046,26,new
65047,27,new
65048,28,new
65049,29,new
65050,30,new
65051,31,new
65052,32,new
65053,33,new
65054,34,new
65055,35,new
65056,36,new
65057,37,new
65058,38,new
65059,39,new
65060,40,new
65061,24,newV2
65062,25,newV2
65063,26,newV2
65064,27,newV2
65065,28,newV2
65066,29,newV2
65067,30,newV2
65068,31,newV2
65069,32,newV2
65070,33,newV2
65071,34,newV2
65072,35,newV2
65073,36,newV2
65074,37,newV2
65075,38,newV2
65076,39,newV2
65077,40,newV2
