run,width,offset
64134,24,original
64135,25,original
64136,26,original
64137,27,original
64138,28,original
64139,29,original
64140,30,original
64141,31,original
64142,32,original
64143,33,original
64144,34,original
64145,35,original
64146,36,original
64147,37,original
64148,38,original
64149,39,original
64150,40,original
64151,24,new
64152,25,new
64153,26,new
64154,27,new
64155,28,new
64156,29,new
64157,30,new
64158,31,new
64159,32,new
64160,33,new
64161,34,new
64162,35,new
64163,36,new
64164,37,new
64165,38,new
64166,39,new
64167,40,new
